episode,episode_reward,final_saving_balance,episode_steps,loss
1,10312.0,,20000,9.54015064239502
2,17580.0,,20000,1.5728282928466797
3,19018.0,,20000,0.7831380367279053
4,19546.0,,20000,0.17801007628440857
5,19698.0,,20000,5.903543296881253e-06
6,19680.0,,20000,6.051239438420453e-07
7,19718.0,,20000,7.049005716908141e-07
8,19782.0,,20000,2.9692017733395915e-07
9,19770.0,,20000,2.393353497609496e-07
10,19780.0,,20000,1.0630144515744178e-06
11,19828.0,,20000,1.5730358882137807e-06
12,19784.0,,20000,2.67193541958477e-07
13,19800.0,,20000,8.905539061743184e-07
14,19824.0,,20000,2.0725769900309388e-06
15,19812.0,,20000,6.389018381014466e-07
16,19836.0,,20000,1.9045343151447014e-06
17,19822.0,,20000,3.0506052439704945e-07
18,19842.0,,20000,5.063842309027677e-06
19,19844.0,,20000,2.761836981335364e-07
20,19846.0,,20000,3.8115541656225105e-07
21,19860.0,,20000,1.8237885797134368e-06
22,19856.0,,20000,3.5266566555947065e-07
23,19852.0,,20000,2.797809486310143e-07
24,19854.0,,20000,3.0453665544882824e-07
25,19884.0,,20000,2.6958295507029106e-07
